ticket_id,customer_id,product_id,assigned_to,priority,status,subject,created_date,resolved_date
345,9,1,50,Medium,Closed,Integration failing with third-party CRM,2024-04-20,2024-05-01
346,39,5,26,Low,Open,Performance degradation in query builder,2024-08-04,
347,25,9,38,High,Resolved,Unable to export dashboard to PDF,2024-05-17,2024-05-31
348,45,10,28,High,Resolved,Integration failing with third-party CRM,2023-11-04,2023-11-11
349,37,10,27,Low,In Progress,CSV import silently dropping non-ASCII characters,2023-11-09,
350,50,2,52,Low,Open,Data export exceeds 100k row limit,2024-09-08,
351,17,7,29,Medium,Resolved,File upload size limit error,2023-08-27,2023-09-06
352,26,3,4,Medium,In Progress,Multi-factor authentication bypass detected,2023-10-03,
353,22,12,52,Low,Closed,Cannot reset password for admin account,2024-10-27,2024-11-04
354,2,6,46,Medium,Closed,Unable to add new team members,2024-08-21,2024-09-04
355,15,3,50,Medium,Open,SSO certificate about to expire,2024-08-24,
356,18,12,38,Critical,In Progress,Report generation timed out,2024-04-27,
357,27,12,50,Low,In Progress,Data sync delay between modules,2024-02-17,
358,33,3,48,Medium,Closed,Custom domain SSL certificate verification failing,2025-04-21,2025-04-30
359,37,1,4,High,Closed,Role-based access not applying correctly,2025-01-01,2025-01-15
360,3,8,32,Medium,Open,Cannot reset password for admin account,2025-05-07,
361,30,9,3,High,In Progress,Role-based access not applying correctly,2024-05-17,
362,24,8,41,Medium,Closed,API response latency above SLA threshold,2023-10-28,2023-11-11
363,23,3,33,Medium,In Progress,API rate limit exceeded during peak hours,2024-10-06,
364,25,1,30,Low,Open,Webhook delivery failures,2025-01-12,
365,42,4,3,Medium,Closed,Unable to export dashboard to PDF,2023-08-04,2023-08-15
366,31,3,32,Critical,Closed,Dashboard drill-down returning 500 error,2023-09-04,2023-09-17
367,20,12,36,Medium,In Progress,API response latency above SLA threshold,2023-07-02,
368,30,5,43,Medium,Resolved,Multi-factor authentication bypass detected,2024-11-16,2024-11-27
369,38,2,50,Low,Resolved,Cannot reset password for admin account,2025-06-20,2025-07-01
370,36,11,27,High,In Progress,Permission inheritance not propagating to subfolders,2023-10-28,
371,5,6,32,Low,In Progress,Mobile app crashing on data refresh,2024-09-17,
372,13,3,49,Low,In Progress,Dashboard drill-down returning 500 error,2024-01-15,
373,26,11,44,Medium,In Progress,Daily digest email not sending to new recipients,2024-08-04,
374,19,5,46,Critical,Closed,CSV import silently dropping non-ASCII characters,2024-04-25,2024-05-07
375,13,6,39,Medium,In Progress,API response latency above SLA threshold,2024-11-12,
376,33,5,29,Low,In Progress,Scheduled task not executing,2025-01-04,
377,7,8,41,Medium,In Progress,Search returning incomplete results,2025-02-16,
378,44,6,51,High,Closed,Mobile app crashing on data refresh,2023-08-27,2023-09-02
379,27,6,27,Medium,Closed,Permission inheritance not propagating to subfolders,2024-06-12,2024-06-17
380,4,11,52,Critical,Resolved,Two-factor authentication not working,2023-11-08,2023-11-18
381,33,2,51,Medium,Closed,Integration failing with third-party CRM,2023-07-31,2023-08-05
382,9,4,38,Low,Closed,Integration failing with third-party CRM,2024-07-12,2024-07-22
383,21,12,44,Medium,In Progress,Search returning incomplete results,2024-12-25,
384,21,11,48,High,Closed,Custom field not saving correctly,2025-04-29,2025-05-04
385,37,3,28,Low,In Progress,Sandbox environment not reflecting production schema,2024-02-12,
386,41,7,4,Medium,Closed,Incorrect currency conversion in multi-region reports,2024-05-10,2024-05-18
387,13,12,48,Low,Open,Custom domain SSL certificate verification failing,2024-06-10,
388,13,1,46,High,Closed,API response latency above SLA threshold,2023-08-05,2023-08-17
389,20,3,26,High,Closed,Login failure after SSO integration,2025-03-14,2025-03-24
390,20,5,34,Medium,In Progress,Sandbox environment not reflecting production schema,2024-03-18,
391,44,3,48,Medium,Open,Two-factor authentication not working,2024-07-12,
392,11,7,30,Low,Closed,API rate limit exceeded during peak hours,2025-06-08,2025-06-20
393,38,9,4,Medium,Closed,Audit log missing entries for last week,2025-01-05,2025-01-17
394,41,5,4,Medium,In Progress,Unable to add new team members,2023-12-28,
395,42,1,36,Medium,In Progress,Missing data in weekly analytics report,2025-05-09,
396,36,5,45,High,In Progress,Unable to export dashboard to PDF,2024-02-28,
397,20,7,43,High,Closed,Email notification not triggering,2023-08-20,2023-08-29
398,27,2,27,High,In Progress,Unable to add new team members,2024-01-21,
399,32,4,30,Low,Closed,API response latency above SLA threshold,2023-10-13,2023-10-18
400,46,7,30,Medium,Closed,Permission inheritance not propagating to subfolders,2024-08-29,2024-09-07
