email_id,sender_id,recipient_ids,cc_ids,subject,body_preview,sent_timestamp,thread_id,related_project_id,related_customer_id,related_incident_id,priority,has_attachment
142,111,"20,17,15,40",,Onboarding: customer go-live next week,"Hi all, please review the attached TeamSync Collaboration release notes. We're targeting a staged rollout starting next Tuesday.",2024-12-14T18:52:00,52,,,,Medium,false
143,103,19,,Sentinel Security Suite release planning — feedback requested,Security advisory: a critical CVE was published affecting our CustomerIQ dependency chain. Patch window is 48 hours per our SLA.,2024-09-18T07:24:00,4,,,35,Medium,false
144,111,"52,11","12,30",Security advisory: patch window for TeamSync Collaboration,Can someone from engineering review PR #3421? It addresses the Incident #41 root cause and needs sign-off before we can close the change request.,2024-09-28T14:01:00,,,,41,High,true
145,98,"35,26,30,41",,Re: AI Model Fine-Tuning Sprint — status update needed,"Hi all, please review the attached TechCorp AI Core release notes. We're targeting a staged rollout starting next Tuesday.",2024-07-29T07:30:00,,4,42,,Medium,false
146,4,21,,Post-incident review: production issue,Post-mortem notes for the incident are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2024-10-17T16:51:00,53,21,20,,High,false
147,50,"10,3",,CustomerIQ release planning — feedback requested,Post-mortem notes for the incident are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2025-04-28T11:09:00,54,,,,Medium,false
148,106,"43,1,2,21",,Urgent: production issue customer impact escalating,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2024-07-08T14:44:00,38,4,,,High,true
149,73,32,,Urgent: production issue customer impact escalating,Security advisory: a critical CVE was published affecting our Sentinel Security Suite dependency chain. Patch window is 48 hours per our SLA.,2024-09-16T10:12:00,12,,12,,High,true
150,17,"80,30",,TeamSync Collaboration v3.4.1 release candidate ready for review,All-hands reminder: AI quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2024-07-20T07:03:00,,,,,Medium,false
151,52,"1,2",,Security advisory: patch window for TeamSync Collaboration,"Hi all, please review the attached TechCorp AI Core release notes. We're targeting a staged rollout starting next Tuesday.",2024-11-13T16:37:00,52,,,4,High,false
152,94,"12,20",,Q3 roadmap review — Marketing Attribution Model milestones,"Team, we need to align on the Marketing Attribution Model deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2024-08-20T14:11:00,15,24,,58,Medium,false
153,132,38,,Urgent: Incident #9 customer impact escalating,Security advisory: a critical CVE was published affecting our TechCorp AI Core dependency chain. Patch window is 48 hours per our SLA.,2024-11-06T13:10:00,,,,9,High,false
154,82,"28,27",,Q3 roadmap review — Q3 initiative milestones,"Hi all, please review the attached Sentinel Security Suite release notes. We're targeting a staged rollout starting next Tuesday.",2024-08-30T14:53:00,,,,,Medium,false
155,124,"28,4",,Re: Identity Access Management Overhaul — status update needed,"Team, we need to align on the Identity Access Management Overhaul deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2024-10-13T07:27:00,,11,,60,Medium,false
156,18,"8,5,34",,Approval needed: Change #9 for InsightFlow Analytics,"Team, we need to align on the the project deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2024-07-03T14:54:00,36,,,,Medium,false
157,30,"34,20,41",,Post-incident review: production issue,"Hi all, please review the attached Sentinel Security Suite release notes. We're targeting a staged rollout starting next Tuesday.",2025-06-12T11:27:00,,,46,,High,false
158,52,"7,80,15","4,11",Sprint planning — Identity Access Management Overhaul backlog prioritization,Quick update — the the customer onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2024-06-30T10:08:00,,11,,59,Medium,false
159,22,"43,42",,Q3 roadmap review — Q3 initiative milestones,Quick update — the the customer onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2024-07-15T13:17:00,,,,,Medium,true
160,100,"18,31,13",,Customer escalation — customer experiencing outage,"Hi all, please review the attached InsightFlow Analytics release notes. We're targeting a staged rollout starting next Tuesday.",2025-05-18T13:57:00,55,,,,Critical,true
161,20,8,,CustomerIQ release planning — feedback requested,The TechCorp AI Core billing integration is throwing errors for the customer. We've opened ticket #178 and engaged the platform team.,2024-11-25T14:47:00,10,,,,Medium,false
162,46,"21,29,34",,Security advisory: patch window for Sentinel Security Suite,The TeamSync Collaboration billing integration is throwing errors for the customer. We've opened ticket #156 and engaged the platform team.,2024-09-11T09:57:00,56,17,,,High,false
163,69,"31,1",,Urgent: production issue customer impact escalating,Security advisory: a critical CVE was published affecting our TechCorp AI Core dependency chain. Patch window is 48 hours per our SLA.,2024-07-09T17:50:00,19,,23,,High,true
164,22,35,11,Q3 roadmap review — Q3 initiative milestones,Quick update — the the customer onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2025-01-25T08:58:00,9,,,46,Medium,true
165,142,"33,39,8",,Integration issue: TeamSync Collaboration + customer SSO config,Security advisory: a critical CVE was published affecting our CustomerIQ dependency chain. Patch window is 48 hours per our SLA.,2024-11-14T12:44:00,,,,48,High,true
166,3,31,,Approval needed: Change #21 for TechCorp AI Core,Post-mortem notes for Incident #23 are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2025-02-06T10:01:00,57,13,,23,Medium,true
167,129,"10,30,22,7",,department all-hands follow-up,Quick update — the the customer onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2024-11-22T12:24:00,,,,,Low,false
168,100,"18,8,1,40",,Security advisory: patch window for DataVault Backup,Can someone from engineering review PR #3421? It addresses the the incident root cause and needs sign-off before we can close the change request.,2024-09-01T16:05:00,58,,47,,High,true
169,136,"25,4,16,32",,Security advisory: patch window for CustomerIQ,Can someone from engineering review PR #3421? It addresses the the incident root cause and needs sign-off before we can close the change request.,2024-09-11T09:12:00,,,,,High,true
170,81,"4,2,4,30","1,11",Weekly engineering sync notes,Security advisory: a critical CVE was published affecting our Sentinel Security Suite dependency chain. Patch window is 48 hours per our SLA.,2024-07-11T17:15:00,53,19,,,Low,true
171,74,"6,32,35,20",,Compliance audit findings — action required,"Hi all, please review the attached Sentinel Security Suite release notes. We're targeting a staged rollout starting next Tuesday.",2025-04-06T16:03:00,59,,,,High,true
172,29,22,"11,2",Approval needed: Change #19 for InsightFlow Analytics,Post-mortem notes for the incident are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2024-07-13T11:17:00,24,,,,Medium,false
173,104,"16,11,1,135","12,52",Sprint planning — Q3 initiative backlog prioritization,Following up on our architecture review. The the project data model changes need approval before we proceed with the migration.,2024-11-05T08:07:00,60,,34,,Medium,false
174,135,"40,10",,Integration issue: Sentinel Security Suite + customer SSO config,Following up on our architecture review. The Employee Onboarding Automation data model changes need approval before we proceed with the migration.,2025-03-04T11:08:00,24,15,,,High,true
175,123,2,"30,4",Sentinel Security Suite release planning — feedback requested,All-hands reminder: Security quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2025-05-26T11:42:00,,,50,,Medium,true
176,26,"30,12,1",,DataVault Backup release planning — feedback requested,Post-mortem notes for Incident #10 are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2024-09-05T07:33:00,,7,23,10,Medium,true
177,78,"13,38,29,1",,Q3 roadmap review — Marketing Attribution Model milestones,"Hi all, please review the attached TechCorp AI Core release notes. We're targeting a staged rollout starting next Tuesday.",2024-11-23T10:32:00,61,24,14,,Medium,true
178,91,25,,DataVault Backup release planning — feedback requested,Can someone from engineering review PR #3421? It addresses the the incident root cause and needs sign-off before we can close the change request.,2025-01-20T17:53:00,9,,,,Medium,false
179,119,"35,135,15,18",,CustomerIQ v4.2.0 release candidate ready for review,"Hi all, please review the attached TechCorp AI Core release notes. We're targeting a staged rollout starting next Tuesday.",2024-12-05T18:37:00,62,3,,,Medium,false
180,40,"17,41",,Sprint planning — CRM Data Quality Initiative backlog prioritization,Post-mortem notes for the incident are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2024-08-03T13:22:00,63,20,,,Medium,false
181,118,"21,4,32,52","2,11",Post-incident review: Incident #17,All-hands reminder: Engineering quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2024-12-15T16:43:00,,,30,17,High,false
182,17,"8,35",,Security advisory: patch window for TeamSync Collaboration,The InsightFlow Analytics billing integration is throwing errors for the customer. We've opened ticket #277 and engaged the platform team.,2024-09-22T07:48:00,,,,,High,true
183,25,"41,1,22",,Weekly engineering sync notes,Security advisory: a critical CVE was published affecting our DataVault Backup dependency chain. Patch window is 48 hours per our SLA.,2025-05-03T16:43:00,25,,12,,Low,false
184,135,2,,Sentinel Security Suite v4.4.10 release candidate ready for review,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2024-09-03T07:48:00,64,,,,Medium,false
185,109,"29,25,38",2,Customer escalation — CodeCraft Software experiencing outage,Quick update — the CodeCraft Software onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2025-01-13T07:29:00,46,,16,42,Critical,false
186,148,"28,14,10,135",,Weekly engineering sync notes,"Hi all, please review the attached DataVault Backup release notes. We're targeting a staged rollout starting next Tuesday.",2024-10-17T15:51:00,,23,,21,Low,false
187,39,26,4,Customer escalation — Titanium Manufacturing Ltd experiencing outage,Security advisory: a critical CVE was published affecting our CustomerIQ dependency chain. Patch window is 48 hours per our SLA.,2024-08-13T18:05:00,,14,41,,Critical,false
188,17,"25,9,18",,Post-incident review: Incident #53,Quick update — the the customer onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2025-02-20T16:32:00,61,,,53,High,false
189,43,"34,41",,Compliance audit findings — action required,Security advisory: a critical CVE was published affecting our CustomerIQ dependency chain. Patch window is 48 hours per our SLA.,2024-08-12T07:33:00,,,,32,High,true
190,32,"16,7",,Approval needed: Change #41 for TechCorp AI Core,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2025-02-26T08:09:00,65,,,,Medium,true
191,90,"52,2,6",,Q3 roadmap review — Q3 initiative milestones,Security advisory: a critical CVE was published affecting our CustomerIQ dependency chain. Patch window is 48 hours per our SLA.,2025-06-07T18:31:00,66,,,11,Medium,false
192,14,16,,Re: Q3 initiative — status update needed,We just got escalated from the customer. They've been down for 45 minutes. the incident is being tracked — can engineering jump on a bridge call?,2024-10-15T08:33:00,9,,,,Medium,false
193,67,"41,5,17,3",,Post-incident review: production issue,Following up on our architecture review. The the project data model changes need approval before we proceed with the migration.,2025-02-18T16:03:00,16,,,,High,false
194,21,"20,40,13",,Customer escalation — customer experiencing outage,"Team, we need to align on the the project deliverables for this sprint. The RAG pipeline performance is below target and needs attention before the customer demo.",2024-07-24T07:44:00,32,,,,Critical,false
195,62,"18,14",12,Onboarding: customer go-live next week,Security advisory: a critical CVE was published affecting our TechCorp AI Core dependency chain. Patch window is 48 hours per our SLA.,2025-03-13T09:58:00,47,,,,Medium,false
196,119,"41,16,11,39",,Customer escalation — customer experiencing outage,"Hi all, please review the attached TechCorp AI Core release notes. We're targeting a staged rollout starting next Tuesday.",2025-05-26T12:26:00,,3,,,Critical,false
197,94,"4,15",135,department all-hands follow-up,Post-mortem notes for the incident are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2025-02-21T15:45:00,7,,29,,Low,false
198,28,"42,52,6,1",,department all-hands follow-up,Quick update — the the customer onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2024-11-28T12:11:00,,,,,Low,false
199,56,"7,15",,Weekly engineering sync notes,Post-mortem notes for Incident #45 are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2024-12-22T09:36:00,30,,,45,Low,true
200,126,"39,3",12,Sprint planning — Q3 initiative backlog prioritization,All-hands reminder: AI quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2025-03-15T16:13:00,,,,,Medium,false
